"zone","label","data2.lat","data2.lon"
"R-08",353,-58.4166679382324,-24.5833339691162
"R-08",354,-58.0833320617676,-28.0833339691162
"R-08",355,-58.0833320617676,-25.0833339691162
"R-08",356,-58.0833320617676,-24.5833339691162
"R-08",357,-57.75,-28.0833339691162
"R-08",358,-57.75,-25.0833339691162
"R-08",359,-57.75,-24.5833339691162
"R-08",360,-57.4166679382324,-28.0833339691162
"R-08",361,-57.4166679382324,-25.0833339691162
"R-08",362,-57.0833320617676,-28.0833339691162
"R-08",363,-57.0833320617676,-25.0833339691162
"R-08",369,-56.75,-28.0833339691162
"R-08",370,-56.75,-25.0833339691162
"R-08",376,-56.4166679382324,-28.0833339691162
"R-08",377,-56.4166679382324,-27.5833339691162
"R-08",378,-56.4166679382324,-26.0833339691162
"R-08",379,-56.4166679382324,-25.5833339691162
"R-08",383,-56.0833320617676,-27.0833339691162
"R-08",384,-56.0833320617676,-26.5833339691162
"R-06",393,-55.75,-36.5833320617676
"R-06",394,-55.75,-36.0833320617676
"R-06",395,-55.75,-35.5833320617676
"R-06",396,-55.75,-35.0833320617676
"R-06",403,-55.4166679382324,-39.5833320617676
"R-06",404,-55.4166679382324,-39.0833320617676
"R-06",405,-55.4166679382324,-38.5833320617676
"R-06",406,-55.4166679382324,-38.0833320617676
"R-06",407,-55.4166679382324,-37.5833320617676
"R-06",408,-55.4166679382324,-37.0833320617676
"R-06",409,-55.4166679382324,-34.5833320617676
"R-06",413,-55.0833320617676,-40.5833320617676
"R-06",414,-55.0833320617676,-40.0833320617676
"R-06",415,-55.0833320617676,-37.5833320617676
"R-06",419,-54.75,-40.5833320617676
"R-06",420,-54.75,-34.5833320617676
"R-06",423,-54.4166679382324,-42.5833320617676
"R-06",424,-54.4166679382324,-42.0833320617676
"R-06",425,-54.4166679382324,-41.5833320617676
"R-06",426,-54.4166679382324,-40.5833320617676
"R-06",427,-54.4166679382324,-34.5833320617676
"R-06",431,-54.0833320617676,-43.0833320617676
"R-06",432,-54.0833320617676,-41.0833320617676
"R-06",433,-54.0833320617676,-40.5833320617676
"R-06",434,-54.0833320617676,-34.5833320617676
"R-06",438,-53.75,-43.5833320617676
"R-06",439,-53.75,-40.5833320617676
"R-06",440,-53.75,-40.0833320617676
"R-06",441,-53.75,-35.5833320617676
"R-06",442,-53.75,-35.0833320617676
"R-06",444,-53.4166679382324,-43.5833320617676
"R-06",445,-53.4166679382324,-40.5833320617676
"R-06",446,-53.4166679382324,-39.5833320617676
"R-06",447,-53.4166679382324,-39.0833320617676
"R-06",448,-53.4166679382324,-36.0833320617676
"R-06",449,-53.4166679382324,-35.5833320617676
"R-06",457,-53.0833320617676,-43.5833320617676
"R-06",458,-53.0833320617676,-40.5833320617676
"R-06",459,-53.0833320617676,-38.5833320617676
"R-06",460,-53.0833320617676,-38.0833320617676
"R-06",461,-53.0833320617676,-37.5833320617676
"R-06",462,-53.0833320617676,-37.0833320617676
"R-06",463,-53.0833320617676,-36.5833320617676
"R-06",469,-52.75,-43.0833320617676
"R-06",470,-52.75,-42.5833320617676
"R-06",471,-52.75,-41.5833320617676
"R-06",472,-52.75,-41.0833320617676
"R-06",478,-52.4166679382324,-42.5833320617676
"R-06",479,-52.4166679382324,-42.0833320617676
"R-06",480,-52.4166679382324,-41.5833320617676
